Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,HN020_contigs,USMM068_contigs
group_458,,DUF4868 domain-containing protein,1,1,1,1,741,,,,357,357,357,BKCABM_05940,
group_457,,UPF0145 protein HMPREF0016_01159,1,1,1,1,740,,,,357,357,357,BKCABM_05805,
artP,artP,ABC-type polar amino acid transport system ATPase component,1,1,1,1,739,,,,744,744,744,,GAHHJF_01730
group_456,,hypothetical protein,1,1,1,1,738,,,,360,360,360,,GAHHJF_11460
ykuD,ykuD,YkuD domain-containing protein,1,1,1,1,737,,,,1242,1242,1242,BKCABM_05130,
group_455,,Outer membrane protein transport protein (OMPP1/FadL/TodX),1,1,1,1,736,,,,1242,1242,1242,BKCABM_04690,
group_454,,DUF2520 domain-containing protein,1,1,1,1,735,,,,744,744,744,BKCABM_04180,
group_453,,GGDEF domain-containing protein,1,1,1,1,734,,,,1245,1245,1245,,GAHHJF_01910
adeA,adeA,RND efflux pump membrane fusion protein barrel-sandwich domain-containing protein,1,1,1,1,733,,,,1245,1245,1245,BKCABM_05790,
group_452,,Lipoprotein,1,1,1,1,732,,,,360,360,360,BKCABM_10805,
group_451,,Putative DNA-binding domain-containing protein,1,1,1,1,731,,,,747,747,747,,GAHHJF_01680
group_450,,TENA/THI-4 domain-containing protein,1,1,1,1,730,,,,747,747,747,,GAHHJF_01905
group_449,,Alpha/beta fold hydrolase,1,1,1,1,729,,,,1245,1245,1245,BKCABM_04620,
group_448,,(S)-ureidoglycine aminohydrolase cupin domain-containing protein,1,1,1,1,728,,,,360,360,360,BKCABM_05100,
oprD,oprD,Outer membrane porin OprD family,1,1,1,1,727,,,,1248,1248,1248,,GAHHJF_02100
group_447,,Branched-chain amino acid ABC transporter permease,1,1,1,1,726,,,,747,747,747,BKCABM_04345,
group_446,,hypothetical protein,1,1,1,1,725,,,,363,363,363,,GAHHJF_02605
group_445,,hypothetical protein,1,1,1,1,724,,,,363,363,363,BKCABM_11350,
tACO1,tACO1,YebC/PmpR family DNA-binding transcriptional regulator,1,1,1,1,723,,,,750,750,750,,GAHHJF_01715
group_444,,Lipoprotein,1,1,1,1,722,,,,363,363,363,BKCABM_04400,
group_443,,Bacterial OB-fold domain-containing protein,1,1,1,1,721,,,,363,363,363,BKCABM_04530,
group_442,uppS,polyprenyl diphosphate synthase,1,1,1,1,720,,,,750,750,750,,GAHHJF_02380
group_441,,Lipoprotein,1,1,1,1,719,,,,363,363,363,BKCABM_04385,
lysA,lysA,diaminopimelate decarboxylase,1,1,1,1,718,,,,1251,1251,1251,BKCABM_04955,
rpsB,rpsB,30S ribosomal protein S2,1,1,1,1,717,,,,750,750,750,BKCABM_04845,
glyA,glyA,Glycine/serine hydroxymethyltransferase,1,1,1,1,716,,,,1254,1254,1254,BKCABM_04615,
virB8,virB8,Bacterial virulence protein VirB8 domain-containing protein,1,1,1,1,715,,,,753,753,753,,GAHHJF_02435
group_440,,HTH gntR-type domain-containing protein,1,1,1,1,714,,,,753,753,753,,GAHHJF_01945
uppS,uppS,polyprenyl diphosphate synthase,1,1,1,1,713,,,,753,753,753,BKCABM_10695,
sdhD,sdhD,succinate dehydrogenase hydrophobic membrane anchor protein,1,1,1,1,712,,,,366,366,366,BKCABM_05460,
group_439,,VOC domain-containing protein,1,1,1,1,711,,,,366,366,366,BKCABM_05225,
fixA,fixA,Electron transfer flavoprotein alpha and beta subunits,1,1,1,1,710,,,,753,753,753,BKCABM_04920,
group_438,,DUF4010 domain-containing protein,1,1,1,1,709,,,,1257,1257,1257,BKCABM_04540,
group_437,,Integron gene cassette protein,1,1,1,1,708,,,,366,366,366,BKCABM_04445,
group_436,,DUF4850 domain-containing protein,1,1,1,1,707,,,,756,756,756,,GAHHJF_11000
group_435,,hypothetical protein,1,1,1,1,706,,,,756,756,756,BKCABM_11205,
group_434,,5-carboxymethyl-2-hydroxymuconate isomerase,1,1,1,1,705,,,,369,369,369,,GAHHJF_01365
group_433,,Nif3-like dinuclear metal center hexameric protein,1,1,1,1,704,,,,759,759,759,,GAHHJF_02500
group_432,,Endonuclease domain-containing protein,1,1,1,1,703,,,,369,369,369,BKCABM_05840,
group_431,lprI,Lysozyme inhibitor LprI N-terminal domain-containing protein,1,1,1,1,702,,,,369,369,369,BKCABM_05305,
group_430,,Nif3-like dinuclear metal center hexameric protein,1,1,1,1,701,,,,759,759,759,BKCABM_04990,
group_429,,Twitching motility protein,1,1,1,1,700,,,,372,372,372,,GAHHJF_11155
bioC,bioC,malonyl-ACP O-methyltransferase BioC,1,1,1,1,699,,,,762,762,762,,GAHHJF_10825
group_428,,Nucleoid-associated protein,1,1,1,1,698,,,,372,372,372,BKCABM_11395,
salA,salA,salicylate 1-monooxygenase,1,1,1,1,697,,,,1269,1269,1269,,GAHHJF_02140
adeR,adeR,efflux system response regulator transcription factor AdeR,1,1,1,1,696,,,,762,762,762,,GAHHJF_01595
group_427,,Transposase,1,1,1,1,695,,,,372,372,372,BKCABM_04940,
group_426,,Glutamate dehydrogenase,1,1,1,1,694,,,,1272,1272,1272,,GAHHJF_11300
serS,serS,serine--tRNA ligase,1,1,1,1,693,,,,1272,1272,1272,BKCABM_05745,
gltA,gltA,citrate synthase,1,1,1,1,691,,,,1275,1275,1275,BKCABM_05470,
group_425,,HTH tetR-type domain-containing protein,1,1,1,1,690,,,,765,765,765,,GAHHJF_02410
group_424,,GST N-terminal domain-containing protein,1,1,1,1,689,,,,765,765,765,,GAHHJF_01750
group_423,,hypothetical protein,1,1,1,1,688,,,,378,378,378,,GAHHJF_02670
thiD,thiD,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,1,1,1,1,687,,,,768,768,768,,GAHHJF_10755
group_422,,HTH lysR-type domain-containing protein,1,1,1,1,686,,,,378,378,378,BKCABM_04730,
group_421,,RDD family protein,1,1,1,1,685,,,,768,768,768,,GAHHJF_04625
group_420,,L-gulono-14-lactone dehydrogenase,1,1,1,1,684,,,,1281,1281,1281,BKCABM_04700,
metL1,metL1,aspartate kinase,1,1,1,1,683,,,,1281,1281,1281,BKCABM_04370,
group_419,,RDD domain-containing protein,1,1,1,1,682,,,,768,768,768,BKCABM_10960,
group_418,,Biotin--[acetyl-CoA-carboxylase] ligase,1,1,1,1,681,,,,771,771,771,,GAHHJF_10890
group_417,,hypothetical protein,1,1,1,1,680,,,,771,771,771,,GAHHJF_10990
folB,folB,dihydroneopterin aldolase,1,1,1,1,679,,,,381,381,381,BKCABM_10850,
hemA,hemA,glutamyl-tRNA reductase,1,1,1,1,678,,,,1284,1284,1284,BKCABM_05560,
panD,panD,aspartate 1-decarboxylase,1,1,1,1,677,,,,381,381,381,BKCABM_05615,
brnQ,brnQ,branched-chain amino acid transport system II carrier protein,1,1,1,1,676,,,,1287,1287,1287,BKCABM_10745,
group_416,,DUF945 domain-containing protein,1,1,1,1,675,,,,1287,1287,1287,BKCABM_04290,
group_415,,hypothetical protein,1,1,1,1,674,,,,381,381,381,BKCABM_04100,
pilG,pilG,twitching motility response regulator PilG,1,1,1,1,673,,,,384,384,384,,GAHHJF_11160
group_414,,3-hydroxyacyl-CoA dehydrogenase type-2,1,1,1,1,671,,,,771,771,771,BKCABM_10875,
group_413,,HesA/MoeB/ThiF family protein,1,1,1,1,670,,,,771,771,771,BKCABM_10860,
bioA,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase,1,1,1,1,669,,,,1293,1293,1293,,GAHHJF_10835
group_412,,DUF3298 domain-containing protein,1,1,1,1,668,,,,771,771,771,BKCABM_05750,
bapA,bapA,BapA prefix-like domain-containing protein,1,1,1,1,667,,,,774,774,774,,GAHHJF_10850
group_411,,Acyl-CoA dehydrogenase,1,1,1,1,666,,,,1293,1293,1293,,GAHHJF_02190
group_410,,SCP2 domain-containing protein,1,1,1,1,665,,,,384,384,384,BKCABM_05205,
group_409,,Transport permease protein,1,1,1,1,664,,,,774,774,774,BKCABM_04795,
group_408,,M48 family metallopeptidase,1,1,1,1,663,,,,774,774,774,BKCABM_04315,
iscU,iscU,Fe-S cluster assembly scaffold protein IscU NifU family,1,1,1,1,662,,,,387,387,387,,GAHHJF_02240
group_407,,hypothetical protein,1,1,1,1,661,,,,387,387,387,BKCABM_11390,
group_406,,Bacteriophage protein,1,1,1,1,660,,,,387,387,387,BKCABM_11200,
group_405,,DNA polymerase IV,1,1,1,1,659,,,,1299,1299,1299,BKCABM_11185,
group_404,,Protein kinase domain-containing protein,1,1,1,1,658,,,,1299,1299,1299,BKCABM_10855,
group_403,,Aldolase,1,1,1,1,657,,,,777,777,777,BKCABM_04675,
trmB,trmB,tRNA (guanosine(46)-N7)-methyltransferase TrmB,1,1,1,1,656,,,,777,777,777,BKCABM_04170,
group_402,,HTH hxlR-type domain-containing protein,1,1,1,1,655,,,,387,387,387,BKCABM_05730,
group_401,,Diacylglycerol kinase,1,1,1,1,654,,,,387,387,387,BKCABM_05250,
group_400,,Methyltransferase type 11 domain-containing protein,1,1,1,1,653,,,,780,780,780,,GAHHJF_11320
group_399,,Transglutaminase-like domain-containing protein,1,1,1,1,652,,,,780,780,780,,GAHHJF_04555
sdhC,sdhC,succinate dehydrogenase cytochrome b556 subunit,1,1,1,1,651,,,,390,390,390,BKCABM_05465,
group_398,,Dicarboxylate/amino acid:cation symporter,1,1,1,1,650,,,,1305,1305,1305,,GAHHJF_02550
group_397,,Transglutaminase-like domain-containing protein,1,1,1,1,649,,,,780,780,780,BKCABM_11045,
group_396,,GST N-terminal domain-containing protein,1,1,1,1,648,,,,780,780,780,BKCABM_10565,
fpr,fpr,Flavodoxin/ferredoxin--NADP reductase,1,1,1,1,647,,,,780,780,780,BKCABM_04550,
group_395,,hypothetical protein,1,1,1,1,646,,,,393,393,393,BKCABM_04390,
yaaA,yaaA,peroxide stress protein YaaA,1,1,1,1,645,,,,780,780,780,BKCABM_04430,
group_394,,GST N-terminal domain-containing protein,1,1,1,1,644,,,,783,783,783,,GAHHJF_02285
group_393,,Oxidoreductase/dehydrogenase,1,1,1,1,643,,,,783,783,783,BKCABM_05725,
modA,modA,molybdate ABC transporter substrate-binding protein,1,1,1,1,642,,,,783,783,783,BKCABM_04725,
group_392,,Major facilitator superfamily (MFS) profile domain-containing protein,1,1,1,1,641,,,,1320,1320,1320,BKCABM_10830,
benD,benD,benzoate diol dehydrogenase BenD,1,1,1,1,640,,,,786,786,786,,GAHHJF_02070
purA,purA,adenylosuccinate synthase,1,1,1,1,639,,,,1320,1320,1320,BKCABM_04325,
group_391,,Fatty acid desaturase domain-containing protein,1,1,1,1,638,,,,786,786,786,BKCABM_04175,
group_390,,Internalin,1,1,1,1,637,,,,402,402,402,BKCABM_10520,
group_389,,histidine kinase,1,1,1,1,636,,,,1323,1323,1323,,GAHHJF_02155
group_388,,Major facilitator superfamily (MFS) profile domain-containing protein,1,1,1,1,635,,,,1323,1323,1323,BKCABM_04410,
group_387,,Protein kinase domain-containing protein,1,1,1,1,634,,,,789,789,789,,GAHHJF_02570
group_386,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,1,1,1,1,633,,,,789,789,789,,GAHHJF_02340
group_385,,AB hydrolase-1 domain-containing protein,1,1,1,1,632,,,,789,789,789,,GAHHJF_01920
group_384,,MFS transporter permease,1,1,1,1,631,,,,1326,1326,1326,,GAHHJF_11255
lpxA,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,1,1,1,1,630,,,,789,789,789,BKCABM_10655,
group_383,,Tellurium resistance protein,1,1,1,1,629,,,,789,789,789,BKCABM_04605,
group_382,,Segregation and condensation protein A,1,1,1,1,628,,,,792,792,792,,GAHHJF_10805
group_381,,CBS domain protein,1,1,1,1,627,,,,1329,1329,1329,BKCABM_05270,
group_380,,histidine kinase,1,1,1,1,626,,,,1329,1329,1329,BKCABM_04520,
rnk,rnk,nucleoside diphosphate kinase regulator,1,1,1,1,625,,,,405,405,405,BKCABM_04610,
group_379,,CENP-V/GFA domain-containing protein,1,1,1,1,624,,,,408,408,408,,GAHHJF_01400
group_378,,ABC transmembrane type-1 domain-containing protein,1,1,1,1,623,,,,795,795,795,,GAHHJF_01930
group_377,,hypothetical protein,1,1,1,1,622,,,,795,795,795,BKCABM_11195,
group_376,map,type I methionyl aminopeptidase,1,1,1,1,621,,,,795,795,795,BKCABM_10740,
group_375,,Uncharacterized protein ACIAD1443,1,1,1,1,620,,,,1335,1335,1335,,GAHHJF_02055
group_374,,3-methylglutaconyl-CoA hydratase,1,1,1,1,619,,,,795,795,795,BKCABM_04220,
group_373,,Inner membrane protein,1,1,1,1,618,,,,414,414,414,,GAHHJF_11120
trkH,trkH,Potassium transporter TrkH,1,1,1,1,617,,,,1338,1338,1338,,GAHHJF_02465
group_372,,Arginine/ornithine antiporter,1,1,1,1,616,,,,1338,1338,1338,,GAHHJF_02175
clpS,clpS,ATP-dependent Clp protease adapter ClpS,1,1,1,1,615,,,,414,414,414,,GAHHJF_02430
astB,astB,N-succinylarginine dihydrolase,1,1,1,1,614,,,,1341,1341,1341,,GAHHJF_11280
group_371,,SnoaL-like domain-containing protein,1,1,1,1,613,,,,414,414,414,BKCABM_10545,
group_370,,DUF2178 domain-containing protein,1,1,1,1,612,,,,414,414,414,BKCABM_05660,
group_369,,Thioesterase family protein,1,1,1,1,611,,,,798,798,798,BKCABM_04185,
group_368,,DUF962 domain-containing protein,1,1,1,1,610,,,,414,414,414,BKCABM_04685,
group_367,,putative membrane transporter protein,1,1,1,1,609,,,,801,801,801,,GAHHJF_10885
group_366,,HTH hxlR-type domain-containing protein,1,1,1,1,608,,,,417,417,417,,GAHHJF_01985
group_365,,Citrate transporter-like domain-containing protein,1,1,1,1,607,,,,1341,1341,1341,BKCABM_05275,
group_364,,hypothetical protein,1,1,1,1,606,,,,801,801,801,BKCABM_11335,
group_363,,Lipoprotein,1,1,1,1,605,,,,417,417,417,BKCABM_05505,
group_362,,Integral membrane protein,1,1,1,1,604,,,,801,801,801,BKCABM_05120,
group_361,rimO,30S ribosomal protein S12 methylthiotransferase RimO,1,1,1,1,603,,,,1344,1344,1344,,GAHHJF_02395
group_360,,4-aminobutyrate transaminase,1,1,1,1,602,,,,1344,1344,1344,,GAHHJF_01990
fdhD,fdhD,formate dehydrogenase accessory sulfurtransferase FdhD,1,1,1,1,601,,,,801,801,801,BKCABM_04735,
group_359,,DUF2071 domain-containing protein,1,1,1,1,600,,,,801,801,801,BKCABM_04555,
rimO,rimO,30S ribosomal protein S12 methylthiotransferase RimO,1,1,1,1,599,,,,1344,1344,1344,BKCABM_10710,
group_358,,C4-dicarboxylate transport protein,1,1,1,1,598,,,,1344,1344,1344,BKCABM_04475,
msrB,msrB,Peptide methionine sulfoxide reductase MsrB,1,1,1,1,597,,,,420,420,420,,GAHHJF_01865
pcaD,pcaD,3-oxoadipate enol-lactonase,1,1,1,1,596,,,,804,804,804,,GAHHJF_02015
mgtE,mgtE,magnesium transporter,1,1,1,1,595,,,,1347,1347,1347,BKCABM_05235,
group_357,,Putative beta-barrel assembly-enhancing protease,1,1,1,1,594,,,,1347,1347,1347,BKCABM_04040,
group_356,asnC,AsnC family transcriptional regulator,1,1,1,1,593,,,,423,423,423,,GAHHJF_11305
pyrC,pyrC,dihydroorotase,1,1,1,1,592,,,,1350,1350,1350,,GAHHJF_02165
group_355,,DUF302 domain-containing protein,1,1,1,1,591,,,,423,423,423,,GAHHJF_11370
dkgB,dkgB,25-didehydrogluconate reductase DkgB,1,1,1,1,590,,,,807,807,807,BKCABM_10530,
group_354,,Phospholipase,1,1,1,1,589,,,,1350,1350,1350,BKCABM_10890,
group_353,,Oxidoreductase,1,1,1,1,588,,,,807,807,807,BKCABM_05820,
trpC,trpC,indole-3-glycerol phosphate synthase TrpC,1,1,1,1,587,,,,807,807,807,BKCABM_05065,
group_352,,Cytochrome C assembly protein,1,1,1,1,586,,,,810,810,810,,GAHHJF_10905
group_351,cysE,serine O-acetyltransferase,1,1,1,1,585,,,,810,810,810,,GAHHJF_01890
cysE,cysE,serine O-acetyltransferase,1,1,1,1,584,,,,810,810,810,BKCABM_11155,
osmC,osmC,OsmC family protein,1,1,1,1,583,,,,423,423,423,BKCABM_04300,
group_350,,Diacetyl reductase [(S)-acetoin forming],1,1,1,1,582,,,,810,810,810,BKCABM_05085,
group_349,rseP,RIP metalloprotease RseP,1,1,1,1,581,,,,1356,1356,1356,,GAHHJF_02365
group_348,,Internalin,1,1,1,1,580,,,,426,426,426,,GAHHJF_01320
rseP,rseP,RIP metalloprotease RseP,1,1,1,1,579,,,,1356,1356,1356,BKCABM_10680,
group_347,,BLUF domain-containing protein,1,1,1,1,578,,,,426,426,426,BKCABM_11035,
queF,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,1,1,1,1,577,,,,813,813,813,BKCABM_04800,
alsT,alsT,Amino-acid carrier protein AlsT,1,1,1,1,576,,,,1362,1362,1362,BKCABM_04970,
group_346,,Glycine zipper 2TM domain-containing protein,1,1,1,1,575,,,,429,429,429,BKCABM_10925,
aroP,aroP,Aromatic amino acid transport protein AroP,1,1,1,1,574,,,,1365,1365,1365,BKCABM_10765,
group_345,,hypothetical protein,1,1,1,1,573,,,,429,429,429,BKCABM_05140,
group_344,,ABC transporter domain-containing protein,1,1,1,1,572,,,,819,819,819,,GAHHJF_01935
prmC,prmC,peptide chain release factor N(5)-glutamine methyltransferase,1,1,1,1,571,,,,819,819,819,BKCABM_10915,
group_343,,Secreted protein,1,1,1,1,570,,,,432,432,432,BKCABM_05420,
group_342,,Tyrosine specific protein phosphatases domain-containing protein,1,1,1,1,569,,,,432,432,432,BKCABM_04780,
cadR,cadR,Cd(II)/Pb(II)-responsive transcriptional regulator,1,1,1,1,568,,,,432,432,432,BKCABM_04575,
cysG,cysG,siroheme synthase CysG,1,1,1,1,567,,,,1377,1377,1377,BKCABM_05740,
group_341,,ABC transmembrane type-1 domain-containing protein,1,1,1,1,566,,,,822,822,822,BKCABM_10910,
group_340,,ABC1 atypical kinase-like domain-containing protein,1,1,1,1,565,,,,1377,1377,1377,,GAHHJF_02185
hinT,hinT,Purine nucleoside phosphoramidase/Ap4A hydrolase histidine triade (HIT) family,1,1,1,1,564,,,,435,435,435,,GAHHJF_02270
group_339,,Tautomerase family protein,1,1,1,1,563,,,,435,435,435,,GAHHJF_01825
group_338,,Hemolysin,1,1,1,1,562,,,,435,435,435,,GAHHJF_01335
dosC,dosC,Diguanylate cyclase DosC,1,1,1,1,561,,,,1377,1377,1377,BKCABM_05105,
group_337,,YqgF/RNase H-like domain-containing protein,1,1,1,1,560,,,,435,435,435,BKCABM_11345,
group_336,,Hemolysin,1,1,1,1,559,,,,435,435,435,BKCABM_10810,
group_335,,hypothetical protein,1,1,1,1,558,,,,1383,1383,1383,,GAHHJF_11205
thiM,thiM,hydroxyethylthiazole kinase,1,1,1,1,557,,,,825,825,825,,GAHHJF_01355
group_334,,Phosphatidate cytidylyltransferase,1,1,1,1,556,,,,825,825,825,,GAHHJF_02375
benA,benA,benzoate 12-dioxygenase large subunit,1,1,1,1,555,,,,1386,1386,1386,,GAHHJF_02085
group_333,,Heavy metal-binding domain-containing protein,1,1,1,1,554,,,,438,438,438,BKCABM_05810,
group_332,,Phosphatidate cytidylyltransferase,1,1,1,1,553,,,,825,825,825,BKCABM_10690,
group_331,,HTH araC/xylS-type domain-containing protein,1,1,1,1,552,,,,825,825,825,BKCABM_04680,
group_330,,Amino acid permease/ SLC12A domain-containing protein,1,1,1,1,551,,,,1392,1392,1392,,GAHHJF_02530
radA,radA,DNA repair protein RadA,1,1,1,1,550,,,,1392,1392,1392,BKCABM_04975,
group_329,ecsC,EcsC family protein,1,1,1,1,549,,,,1395,1395,1395,,GAHHJF_10730
group_328,,hypothetical protein,1,1,1,1,548,,,,441,441,441,BKCABM_10590,
group_327,,replication protein,1,1,1,1,547,,,,828,828,828,BKCABM_11365,
group_326,,Amino acid permease/ SLC12A domain-containing protein,1,1,1,1,546,,,,1395,1395,1395,BKCABM_05715,
map,map,type I methionyl aminopeptidase,1,1,1,1,545,,,,828,828,828,BKCABM_04855,
group_325,,Universal stress protein,1,1,1,1,544,,,,441,441,441,BKCABM_05370,
group_324,,HTH gntR-type domain-containing protein,1,1,1,1,543,,,,1395,1395,1395,BKCABM_04670,
group_323,,DUF4431 domain-containing protein,1,1,1,1,542,,,,441,441,441,BKCABM_04485,
group_322,,DUF2147 domain-containing protein,1,1,1,1,541,,,,441,441,441,BKCABM_04440,
group_321,araC,AraC family transcriptional regulator,1,1,1,1,540,,,,831,831,831,,GAHHJF_01410
ispE,ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,1,1,1,1,539,,,,831,831,831,BKCABM_05575,
group_320,lpdA,dihydrolipoyl dehydrogenase,1,1,1,1,538,,,,1401,1401,1401,,GAHHJF_01520
benK,benK,Benzoate transport protein,1,1,1,1,537,,,,1401,1401,1401,,GAHHJF_02095
group_319,,Heat shock protein 15,1,1,1,1,536,,,,444,444,444,,GAHHJF_02315
group_318,,Universal stress protein,1,1,1,1,535,,,,444,444,444,,GAHHJF_01325
yegQ,yegQ,tRNA 5-hydroxyuridine modification protein YegQ,1,1,1,1,534,,,,1401,1401,1401,BKCABM_04580,
group_317,,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,1,1,1,1,533,,,,444,444,444,BKCABM_10845,
group_316,,Methionine transporter,1,1,1,1,532,,,,834,834,834,,GAHHJF_01770
group_315,,Heat shock protein 15,1,1,1,1,531,,,,444,444,444,BKCABM_10630,
group_314,,diacylglycerol O-acyltransferase,1,1,1,1,530,,,,1407,1407,1407,,GAHHJF_10930
group_313,,DUF3887 domain-containing protein,1,1,1,1,529,,,,444,444,444,BKCABM_04900,
ffh,ffh,signal recognition particle protein,1,1,1,1,528,,,,1410,1410,1410,,GAHHJF_10900
group_312,,HTH araC/xylS-type domain-containing protein,1,1,1,1,527,,,,834,834,834,BKCABM_04830,
group_311,,Glycine zipper 2TM domain-containing protein,1,1,1,1,526,,,,447,447,447,,GAHHJF_04650
group_310,,BLUF domain-containing protein,1,1,1,1,525,,,,447,447,447,,GAHHJF_01500
glnA,glnA,type I glutamate--ammonia ligase,1,1,1,1,524,,,,1410,1410,1410,BKCABM_05050,
group_309,,DUF2726 domain-containing protein,1,1,1,1,523,,,,447,447,447,,GAHHJF_02540
group_308,,Short-chain fatty acid transporter,1,1,1,1,522,,,,1410,1410,1410,BKCABM_04245,
group_307,,GGDEF domain-containing protein,1,1,1,1,521,,,,1413,1413,1413,,GAHHJF_11455
spoT,spoT,Bifunctional protein SpoT,1,1,1,1,520,,,,447,447,447,BKCABM_10730,
group_306,,Luciferase-like domain-containing protein,1,1,1,1,519,,,,1413,1413,1413,,GAHHJF_01765
group_305,,Phasin domain-containing protein,1,1,1,1,518,,,,447,447,447,BKCABM_05340,
eat,eat,ethanolamine permease,1,1,1,1,517,,,,1416,1416,1416,,GAHHJF_01960
group_304,,Amino acid permease/ SLC12A domain-containing protein,1,1,1,1,516,,,,1416,1416,1416,BKCABM_04965,
group_303,,ABC transporter permease subunit,1,1,1,1,515,,,,843,843,843,,GAHHJF_01740
group_302,,Xanthine permease,1,1,1,1,514,,,,1419,1419,1419,,GAHHJF_11265
group_301,,Thiaminase-2/PQQC domain-containing protein,1,1,1,1,513,,,,843,843,843,BKCABM_04565,
group_300,,Nucleoside-specific channel-forming protein,1,1,1,1,512,,,,846,846,846,,GAHHJF_11240
group_299,ybgF,YbgF trimerisation domain-containing protein,1,1,1,1,511,,,,846,846,846,,GAHHJF_02335
ybgF,ybgF,YbgF trimerisation domain-containing protein,1,1,1,1,510,,,,846,846,846,BKCABM_10650,
group_298,,Short-chain dehydrogenase,1,1,1,1,509,,,,846,846,846,BKCABM_05480,
dapF,dapF,diaminopimelate epimerase,1,1,1,1,508,,,,846,846,846,BKCABM_04950,
group_297,,Lipoprotein,1,1,1,1,507,,,,453,453,453,BKCABM_11235,
group_296,,Deoxyribodipyrimidine photo-lyase,1,1,1,1,506,,,,1428,1428,1428,BKCABM_04420,
group_295,,Long-chain fatty acid transporter,1,1,1,1,505,,,,1431,1431,1431,,GAHHJF_10915
group_294,,Putative beta-barrel assembly-enhancing protease,1,1,1,1,504,,,,1431,1431,1431,,GAHHJF_02610
group_293,,Aminotransferase,1,1,1,1,503,,,,1431,1431,1431,,GAHHJF_01870
group_292,trmJ,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ,1,1,1,1,502,,,,849,849,849,,GAHHJF_01885
trmJ,trmJ,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ,1,1,1,1,501,,,,849,849,849,BKCABM_11150,
group_291,,amidohydrolase family protein,1,1,1,1,500,,,,1434,1434,1434,,GAHHJF_01925
lpdA,lpdA,dihydrolipoyl dehydrogenase,1,1,1,1,499,,,,1434,1434,1434,BKCABM_05435,
group_290,,HTH asnC-type domain-containing protein,1,1,1,1,498,,,,456,456,456,BKCABM_04340,
group_289,,Guanylate cyclase domain-containing protein,1,1,1,1,497,,,,1440,1440,1440,,GAHHJF_02265
group_288,,Porin domain-containing protein,1,1,1,1,496,,,,1440,1440,1440,,GAHHJF_01725
group_287,,Poly(Hydroxyalcanoate) granule associated protein,1,1,1,1,495,,,,459,459,459,,GAHHJF_02220
group_286,,Diguanylate cyclase (GGDEF) domain-containing protein,1,1,1,1,494,,,,1443,1443,1443,,GAHHJF_04640
folP,folP,dihydropteroate synthase,1,1,1,1,493,,,,852,852,852,BKCABM_05315,
group_285,,Integral membrane protein,1,1,1,1,492,,,,459,459,459,BKCABM_10755,
sulP,sulP,STAS domain-containing protein,1,1,1,1,491,,,,1443,1443,1443,BKCABM_04160,
group_284,cysQ,3'(2')5'-bisphosphate nucleotidase CysQ,1,1,1,1,490,,,,855,855,855,BKCABM_10600,
group_283,,hypothetical protein,1,1,1,1,489,,,,462,462,462,,GAHHJF_11230
mreC,mreC,rod shape-determining protein MreC,1,1,1,1,488,,,,858,858,858,,GAHHJF_10955
group_282,,Alpha/beta hydrolase,1,1,1,1,487,,,,1449,1449,1449,BKCABM_05030,
group_281,,Serine aminopeptidase S33 domain-containing protein,1,1,1,1,486,,,,858,858,858,BKCABM_10760,
group_280,,P-loop ATPase,1,1,1,1,485,,,,1452,1452,1452,BKCABM_05365,
cysQ,cysQ,3'(2')5'-bisphosphate nucleotidase CysQ,1,1,1,1,484,,,,861,861,861,,GAHHJF_02310
group_279,,HAMP domain-containing protein,1,1,1,1,483,,,,1455,1455,1455,,GAHHJF_11145
rng,rng,ribonuclease G,1,1,1,1,482,,,,1455,1455,1455,,GAHHJF_10940
group_278,,DUF2750 domain-containing protein,1,1,1,1,481,,,,465,465,465,,GAHHJF_11080
bfr,bfr,bacterioferritin,1,1,1,1,480,,,,465,465,465,,GAHHJF_10855
group_277,eamA,EamA domain-containing protein,1,1,1,1,479,,,,861,861,861,BKCABM_04665,
group_276,,Benzaldehyde dehydrogenase II,1,1,1,1,478,,,,1455,1455,1455,,GAHHJF_02110
group_275,,DJ-1/PfpI domain-containing protein,1,1,1,1,477,,,,864,864,864,,GAHHJF_01800
group_274,,UPF0276 protein BEN76_06375,1,1,1,1,476,,,,864,864,864,,GAHHJF_01685
ecsC,ecsC,EcsC family protein,1,1,1,1,475,,,,1458,1458,1458,BKCABM_17250,
adeK,adeK,multidrug efflux RND transporter AdeIJK outer membrane channel subunit AdeK,1,1,1,1,474,,,,1458,1458,1458,BKCABM_05800,
group_273,,OmpA-like domain-containing protein,1,1,1,1,473,,,,1458,1458,1458,BKCABM_04255,
